2025-08-31 04:06:52,380 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:06:52,381 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:07:11,032 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:33:57,623 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:53,913 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:37:13,899 - RTPM_APP - WARNING - Frame sync mismatch: expected 157, got 155
2025-08-31 04:37:13,905 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:40:34,493 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:40:34,493 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:40:55,626 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:43:30,677 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:43:30,677 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:43:45,335 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:43:51,279 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:43:51,279 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:43:51,455 - RTPM_APP - WARNING - Frame sync mismatch: expected 1, got 158
2025-08-31 04:43:51,588 - RTPM_APP - WARNING - Frame sync mismatch: expected 2, got 159
2025-08-31 04:43:51,591 - RTPM_APP - WARNING - Frame sync mismatch: expected 3, got 1
2025-08-31 04:43:51,685 - RTPM_APP - WARNING - Frame sync mismatch: expected 4, got 2
2025-08-31 04:43:51,802 - RTPM_APP - WARNING - Frame sync mismatch: expected 5, got 3
2025-08-31 04:43:51,805 - RTPM_APP - WARNING - Frame sync mismatch: expected 6, got 4
2025-08-31 04:43:51,936 - RTPM_APP - WARNING - Frame sync mismatch: expected 7, got 5
2025-08-31 04:43:51,940 - RTPM_APP - WARNING - Frame sync mismatch: expected 8, got 6
2025-08-31 04:43:52,076 - RTPM_APP - WARNING - Frame sync mismatch: expected 9, got 7
2025-08-31 04:43:52,127 - RTPM_APP - WARNING - Frame sync mismatch: expected 10, got 8
2025-08-31 04:43:52,237 - RTPM_APP - WARNING - Frame sync mismatch: expected 11, got 9
2025-08-31 04:43:52,253 - RTPM_APP - WARNING - Frame sync mismatch: expected 12, got 10
2025-08-31 04:43:52,423 - RTPM_APP - WARNING - Frame sync mismatch: expected 13, got 11
2025-08-31 04:43:52,426 - RTPM_APP - WARNING - Frame sync mismatch: expected 14, got 12
2025-08-31 04:43:52,555 - RTPM_APP - WARNING - Frame sync mismatch: expected 15, got 13
2025-08-31 04:43:52,562 - RTPM_APP - WARNING - Frame sync mismatch: expected 16, got 14
2025-08-31 04:43:52,681 - RTPM_APP - WARNING - Frame sync mismatch: expected 17, got 15
2025-08-31 04:43:52,788 - RTPM_APP - WARNING - Frame sync mismatch: expected 18, got 16
2025-08-31 04:43:52,791 - RTPM_APP - WARNING - Frame sync mismatch: expected 19, got 17
2025-08-31 04:43:52,902 - RTPM_APP - WARNING - Frame sync mismatch: expected 20, got 18
2025-08-31 04:43:53,019 - RTPM_APP - WARNING - Frame sync mismatch: expected 21, got 19
2025-08-31 04:43:53,027 - RTPM_APP - WARNING - Frame sync mismatch: expected 22, got 20
2025-08-31 04:43:53,148 - RTPM_APP - WARNING - Frame sync mismatch: expected 23, got 21
2025-08-31 04:43:53,150 - RTPM_APP - WARNING - Frame sync mismatch: expected 24, got 22
2025-08-31 04:43:53,257 - RTPM_APP - WARNING - Frame sync mismatch: expected 25, got 23
2025-08-31 04:43:53,392 - RTPM_APP - WARNING - Frame sync mismatch: expected 26, got 24
